idx,block,trial,stimuli,reward,response,trialtype,regret
0,1,1,red/yellow,60,red,catch,0
0,1,2,green/blue,40,green,catch,0
0,1,3,yellow/green,20,yellow,decision,20
0,1,4,green/yellow,40,green,decision,0
0,1,5,red/blue,80,blue,decision,0
0,1,6,green/red,40,green,catch,20
0,1,7,red/blue,60,red,decision,20
0,1,8,green/yellow,40,green,decision,0
0,1,9,yellow/green,20,yellow,decision,0
0,1,10,green/red,40,green,catch,20
0,1,11,red/blue,60,red,decision,20
0,1,12,green/yellow,0,green,decision,20
0,1,13,green/yellow,0,green,decision,20
0,1,14,green/blue,0,green,catch,40
0,1,15,red/yellow,60,red,catch,0
0,1,16,yellow/green,20,yellow,decision,20
0,1,17,green/blue,40,green,catch,40
0,1,18,red/green,60,red,catch,0
0,1,19,blue/yellow,40,blue,catch,0
0,1,20,blue/red,60,red,decision,0
0,1,21,red/yellow,60,red,catch,0
0,1,22,yellow/green,20,yellow,decision,20
0,1,23,yellow/green,20,yellow,decision,20
0,1,24,yellow/blue,20,yellow,catch,60
0,1,25,red/blue,60,red,decision,0
0,1,26,green/blue,0,green,catch,80
0,1,27,yellow/green,20,yellow,decision,20
0,1,28,blue/yellow,40,blue,catch,0
0,1,29,red/blue,60,red,decision,0
0,1,30,yellow/red,20,yellow,catch,40
0,1,31,green/yellow,0,green,decision,20
0,1,32,red/blue,60,red,decision,0
0,1,33,green/yellow,0,green,decision,20
0,1,34,yellow/green,20,yellow,decision,0
0,1,35,green/blue,0,green,catch,40
0,1,36,green/yellow,40,green,decision,0
0,1,37,blue/green,80,blue,catch,0
0,1,38,green/yellow,40,green,decision,0
0,1,39,green/yellow,40,green,decision,0
0,1,40,red/blue,60,red,decision,0
0,2,1,red/blue,60,red,decision,0
0,2,2,yellow/red,60,red,catch,0
0,2,3,blue/red,80,blue,decision,0
0,2,4,blue/red,80,blue,decision,0
0,2,5,blue/yellow,40,blue,catch,0
0,2,6,red/blue,60,red,decision,0
0,2,7,red/green,0,green,catch,60
0,2,8,yellow/blue,20,yellow,catch,20
0,2,9,red/blue,60,red,decision,0
0,2,10,blue/yellow,80,blue,catch,0
0,2,11,green/yellow,40,green,decision,0
0,2,12,yellow/green,20,yellow,decision,20
0,2,13,green/red,0,green,catch,60
0,2,14,green/red,40,green,catch,20
0,2,15,blue/red,80,blue,decision,0
0,2,16,green/yellow,40,green,decision,0
0,2,17,green/blue,40,green,catch,40
0,2,18,yellow/red,20,yellow,catch,40
0,2,19,green/yellow,40,green,decision,0
0,2,20,green/yellow,0,green,decision,20
0,2,21,yellow/green,20,yellow,decision,0
0,2,22,yellow/blue,20,yellow,catch,60
0,2,23,green/yellow,40,green,decision,0
0,2,24,yellow/green,20,yellow,decision,20
0,2,25,yellow/red,20,yellow,catch,40
0,2,26,red/blue,60,red,decision,20
0,2,27,blue/red,40,blue,decision,20
0,2,28,blue/red,40,blue,decision,20
0,2,29,green/blue,0,green,catch,40
0,2,30,blue/red,80,blue,decision,0
0,2,31,yellow/green,20,yellow,decision,20
0,2,32,green/yellow,0,green,decision,20
0,2,33,green/blue,40,green,catch,0
0,2,34,blue/yellow,40,blue,catch,0
0,2,35,green/red,0,green,catch,60
0,2,36,red/yellow,60,red,catch,0
0,2,37,red/blue,60,red,decision,20
0,2,38,red/blue,60,red,decision,20
0,2,39,green/yellow,0,green,decision,20
0,2,40,yellow/green,20,yellow,decision,0
0,3,1,yellow/green,20,yellow,decision,20
0,3,2,yellow/green,20,yellow,decision,0
0,3,3,blue/red,80,blue,decision,0
0,3,4,red/blue,60,red,decision,20
0,3,5,yellow/green,20,yellow,decision,20
0,3,6,red/green,60,red,catch,0
0,3,7,red/blue,60,red,decision,20
0,3,8,blue/yellow,80,blue,catch,0
0,3,9,red/green,60,red,catch,0
0,3,10,blue/red,40,blue,decision,20
0,3,11,blue/red,40,blue,decision,20
0,3,12,red/blue,60,red,decision,0
0,3,13,blue/red,80,blue,decision,0
0,3,14,yellow/red,60,red,catch,0
0,3,15,red/blue,60,red,decision,20
0,3,16,yellow/red,20,yellow,catch,40
0,3,17,blue/yellow,80,blue,catch,0
0,3,18,green/blue,0,green,catch,40
0,3,19,yellow/red,20,yellow,catch,40
0,3,20,yellow/blue,20,yellow,catch,20
0,3,21,red/green,60,red,catch,0
0,3,22,blue/green,40,blue,catch,0
0,3,23,yellow/green,40,green,decision,0
0,3,24,green/blue,0,green,catch,80
0,3,25,red/yellow,60,red,catch,0
0,3,26,yellow/green,20,yellow,decision,0
0,3,27,yellow/green,20,yellow,decision,20
0,3,28,red/blue,60,red,decision,20
0,3,29,blue/red,80,blue,decision,0
0,3,30,red/green,60,red,catch,0
0,3,31,yellow/green,20,yellow,decision,0
0,3,32,green/red,40,green,catch,20
0,3,33,green/yellow,40,green,decision,0
0,3,34,green/yellow,0,green,decision,20
0,3,35,yellow/green,20,yellow,decision,20
0,3,36,blue/red,40,blue,decision,20
0,3,37,red/yellow,20,yellow,catch,40
0,3,38,yellow/green,20,yellow,decision,20
0,3,39,blue/red,40,blue,decision,20
0,3,40,green/yellow,40,green,decision,0
0,4,1,yellow/blue,20,yellow,catch,20
0,4,2,blue/yellow,80,blue,catch,0
0,4,3,red/blue,60,red,decision,0
0,4,4,yellow/red,20,yellow,catch,40
0,4,5,red/yellow,60,red,catch,0
0,4,6,blue/yellow,40,blue,catch,0
0,4,7,green/yellow,40,green,decision,0
0,4,8,red/yellow,60,red,catch,0
0,4,9,green/blue,40,green,catch,0
0,4,10,yellow/green,20,yellow,decision,0
0,4,11,red/yellow,60,red,catch,0
0,4,12,blue/red,80,blue,decision,0
0,4,13,yellow/green,20,yellow,decision,0
0,4,14,red/blue,60,red,decision,0
0,4,15,green/yellow,0,green,decision,20
0,4,16,yellow/green,20,yellow,decision,20
0,4,17,blue/red,40,blue,decision,20
0,4,18,yellow/green,20,yellow,decision,0
0,4,19,green/red,0,green,catch,60
0,4,20,red/blue,60,red,decision,0
0,4,21,red/blue,60,red,decision,0
0,4,22,blue/red,80,blue,decision,0
0,4,23,red/blue,60,red,decision,20
0,4,24,blue/red,40,blue,decision,20
0,4,25,red/blue,60,red,decision,20
0,4,26,red/yellow,60,red,catch,0
0,4,27,green/blue,0,green,catch,80
0,4,28,red/green,60,red,catch,0
0,4,29,red/blue,60,red,decision,0
0,4,30,red/blue,60,red,decision,20
0,4,31,green/yellow,0,green,decision,20
0,4,32,blue/green,40,blue,catch,0
