Subject,Date,Session,Day,Trial,Left Path,Right Path,Path Taken,Notes
26,5/16/2013,1,Day 1,1,yellow(1),x,right 4 times then left,"Tried to fly, so the room light was quickly turned off and then back on once the flapping stopped."
26,5/16/2013,1,Day 1,2,purple(0/2=2),yellow(1),right,
26,5/16/2013,1,Day 1,3,yellow(1),purple(0/2=0),left,
26,5/16/2013,1,Day 1,4,orange(2/4=2),purple(0/2=0),left,
26,5/16/2013,1,Day 1,5,yellow(1),green(3),right,
26,5/16/2013,1,Day 1,6,purple(0/2=2),orange(2/4=2),right,
26,5/16/2013,1,Day 1,7,orange(2/4=4),green(3),right,
26,5/16/2013,1,Day 1,8,green(3),orange(2/4=4),right,
26,5/16/2013,1,Day 1,9,green(3),yellow(1),right,
26,5/16/2013,1,Day 1,10,x,orange(2/4=4),right,
26,5/17/2013,2,Day 2,1,yellow(1),green(3),right,
26,5/17/2013,2,Day 2,2,purple(0/2=2),x,right twice then left,
26,5/17/2013,2,Day 2,3,orange(2/4=2),purple(0/2=2),right,
26,5/17/2013,2,Day 2,4,green(3),yellow(1),left,
26,5/17/2013,2,Day 2,5,orange(2/4=2),green(3),right,
26,5/17/2013,2,Day 2,6,x,green(3),right,
26,5/17/2013,2,Day 2,7,green(3),orange(2/4=2),right,
26,5/17/2013,2,Day 2,8,purple(0/2=0),orange(2/4=2),right,
26,5/17/2013,2,Day 2,9,yellow(1),purple(0/2=2),right,
26,5/17/2013,2,Day 2,10,purple(0/2=2),yellow(1),right,
26,5/20/2013,3,Day 3,1,green(3),orange(2/4=2),left,
26,5/20/2013,3,Day 3,2,green(3),x,left,
26,5/20/2013,3,Day 3,3,yellow(1),green(3),right,
26,5/20/2013,3,Day 3,4,green(3),yellow(1),right,
26,5/20/2013,3,Day 3,5,purple(0/2=0),yellow(1),right,
26,5/20/2013,3,Day 3,6,orange(2/4=4),purple(0/2=0),right,
26,5/20/2013,3,Day 3,7,x,yellow(1),right,
26,5/20/2013,3,Day 3,8,orange(2/4=4),green(3),right,
26,5/20/2013,3,Day 3,9,purple(0/2=2),orange(2/4=4),right,
26,5/20/2013,3,Day 3,10,yellow(1),purple(0/2=2),left,
26,5/21/2013,4,Day 4,1,orange(2/4=2),green(3),right,
26,5/21/2013,4,Day 4,2,green(3),yellow(1),left,
26,5/21/2013,4,Day 4,3,yellow(1),green(3),right,
26,5/21/2013,4,Day 4,4,green(3),orange(2/4=4),left,
26,5/21/2013,4,Day 4,5,orange(2/4=4),purple(0/2=2),left,
26,5/21/2013,4,Day 4,6,purple(0/2=0),yellow(1),right,
26,5/21/2013,4,Day 4,7,orange(2/4=2),x,left,
26,5/21/2013,4,Day 4,8,yellow(1),purple(0/2=0),left,
26,5/21/2013,4,Day 4,9,x,purple(0/2=0),left twice then right,
26,5/21/2013,4,Day 4,10,purple(0/2=0),orange(2/4=4),right,
26,5/22/2013,5,Day 5,1,yellow(1),green(3),right,
26,5/22/2013,5,Day 5,2,green(3),yellow(1),left,
26,5/22/2013,5,Day 5,3,purple(0/2=2),orange(2/4=2),left,
26,5/22/2013,5,Day 5,4,purple(0/2=2),yellow(1),right,
26,5/22/2013,5,Day 5,5,yellow(1),purple(0/2=0),left,
26,5/22/2013,5,Day 5,6,x,orange(2/4=2),right,
26,5/22/2013,5,Day 5,7,orange(2/4=4),green(3),right,
26,5/22/2013,5,Day 5,8,orange(2/4=2),purple(0/2=0),left,
26,5/22/2013,5,Day 5,9,yellow(1),x,left,
26,5/22/2013,5,Day 5,10,green(3),orange(2/4=4),left,
26,5/23/2013,6,Day 6,1,purple(0/2=0),orange(2/4=2),right,
26,5/23/2013,6,Day 6,2,green(3),yellow(1),left,
26,5/23/2013,6,Day 6,3,purple(0/2=0),x,right then left,
26,5/23/2013,6,Day 6,4,orange(2/4=2),green(3),right,
26,5/23/2013,6,Day 6,5,yellow(1),purple(0/2=2),left,
26,5/23/2013,6,Day 6,6,purple(0/2=2),yellow(1),right,
26,5/23/2013,6,Day 6,7,x,green(3),right,
26,5/23/2013,6,Day 6,8,green(3),orange(2/4=2),left,
26,5/23/2013,6,Day 6,9,orange(2/4=2),purple(0/2=2),left,
26,5/23/2013,6,Day 6,10,yellow(1),green(3),right,
26,5/24/2013,7,Day 7,1,yellow(1),purple(0/2=2),right,
26,5/24/2013,7,Day 7,2,green(3),x,left,forgot to hit record button
26,5/24/2013,7,Day 7,3,purple(0/2=2),orange(2/4=4),right,
26,5/24/2013,7,Day 7,4,purple(0/2=0),yellow(1),left,
26,5/24/2013,7,Day 7,5,yellow(1),green(3),right,
26,5/24/2013,7,Day 7,6,x,yellow(1),left then right,"bird tried to fly after consuming food, so light was briefly turned off."
26,5/24/2013,7,Day 7,7,orange(2/4=4),green(3),right,
26,5/24/2013,7,Day 7,8,green(3),yellow(1),left,
26,5/24/2013,7,Day 7,9,green(3),orange(2/4=2),left,
26,5/24/2013,7,Day 7,10,orange(2/4=4),purple(0/2=0),left,
26,5/27/2013,8,Day 8,1,purple(0/2=0),orange(2/4=4),right,
26,5/27/2013,8,Day 8,2,green(3),yellow(1),left,
26,5/27/2013,8,Day 8,3,yellow(1),green(3),right,"bird tried to fly after consuming food, so light was briefly turned off."
26,5/27/2013,8,Day 8,4,yellow(1),purple(0/2=0),left,
26,5/27/2013,8,Day 8,5,purple(0/2=0),yellow(1),right,
26,5/27/2013,8,Day 8,6,orange(2/4=2),green(3),right,
26,5/27/2013,8,Day 8,7,orange(2/4=4),purple(0/2=2),left,
26,5/27/2013,8,Day 8,8,green(3),orange(2/4=4),left,
26,5/27/2013,8,Day 8,9,orange(2/4=4),x,left,
26,5/27/2013,8,Day 8,10,x,purple(0/2=2),right,
26,5/28/2013,9,Day 1,1,yellow(1),x,left,
26,5/28/2013,9,Day 1,2,x,orange(2/4=4),right,
26,5/28/2013,9,Day 1,3,purple(0/2=2),orange(2/4=2),right,
26,5/28/2013,9,Day 1,4,green(3),yellow(1),left,
26,5/28/2013,9,Day 1,5,orange(2/4=2),purple(0/2=0),left,
26,5/28/2013,9,Day 1,6,orange(2/4=4),green(3),right,
26,5/28/2013,9,Day 1,7,yellow(1),purple(0/2=0),left,
26,5/28/2013,9,Day 1,8,green(3),orange(2/4=4),left,
26,5/28/2013,9,Day 1,9,yellow(1),green(3),right,
26,5/28/2013,9,Day 1,10,purple(0/2=2),yellow(1),right,
26,5/29/2013,10,Day 2,1,yellow(1),green(3),right,
26,5/29/2013,10,Day 2,2,purple(0/2=2),x,left,
26,5/29/2013,10,Day 2,3,purple(0/2=2),yellow(1),right,Took a very long time (approx. 10min) to return to the start box
26,5/29/2013,10,Day 2,4,yellow(1),purple(0/2=2),left,
26,5/29/2013,10,Day 2,5,orange(2/4=2),purple(0/2=2),left,
26,5/29/2013,10,Day 2,6,purple(0/2=0),orange(2/4=2),right,
26,5/29/2013,10,Day 2,7,x,green(3),right,
26,5/29/2013,10,Day 2,8,green(3),orange(2/4=2),left,
26,5/29/2013,10,Day 2,9,orange(2/4=2),green(3),right,
26,5/29/2013,10,Day 2,10,green(3),yellow(1),left,
26,5/30/2013,11,Day 3,1,yellow(1),green(3),right,
26,5/30/2013,11,Day 3,2,green(3),x,left,
26,5/30/2013,11,Day 3,3,orange(2/4=4),purple(0/2=0),left,
26,5/30/2013,11,Day 3,4,purple(0/2=0),yellow(1),left,
26,5/30/2013,11,Day 3,5,green(3),yellow(1),left,
26,5/30/2013,11,Day 3,6,x,yellow(1),left then right,
26,5/30/2013,11,Day 3,7,yellow(1),purple(0/2=2),right,
26,5/30/2013,11,Day 3,8,purple(0/2=2),orange(2/4=4),right,"bird tried to fly after consuming food, so light was briefly turned off."
26,5/30/2013,11,Day 3,9,orange(2/4=4),green(3),right,
26,5/30/2013,11,Day 3,10,green(3),orange(2/4=2),right,
26,5/31/2013,12,Day 4,1,purple(0/2=0),orange(2/4=4),right,
26,5/31/2013,12,Day 4,2,orange(2/4=4),purple(0/2=2),right,
26,5/31/2013,12,Day 4,3,yellow(1),purple(0/2=0),right,
26,5/31/2013,12,Day 4,4,orange(2/4=2),green(3),right,
26,5/31/2013,12,Day 4,5,purple(0/2=0),yellow(1),right,
26,5/31/2013,12,Day 4,6,orange(2/4=2),x,left,
26,5/31/2013,12,Day 4,7,yellow(1),green(3),right,
26,5/31/2013,12,Day 4,8,green(3),orange(2/4=4),right,
26,5/31/2013,12,Day 4,9,x,purple(0/2=0),right,
26,5/31/2013,12,Day 4,10,green(3),yellow(1),left,
26,6/3/2013,13,Day 5,1,green(3),yellow(1),left,
26,6/3/2013,13,Day 5,2,orange(2/4=2),purple(0/2=0),right,
26,6/3/2013,13,Day 5,3,x,orange(2/4=2),right,
26,6/3/2013,13,Day 5,4,yellow(1),green(3),right,
26,6/3/2013,13,Day 5,5,yellow(1),purple(0/2=0),right,
26,6/3/2013,13,Day 5,6,purple(0/2=2),orange(2/4=2),right,
26,6/3/2013,13,Day 5,7,purple(0/2=2),yellow(1),right,
26,6/3/2013,13,Day 5,8,orange(2/4=4),green(3),right,
26,6/3/2013,13,Day 5,9,yellow(1),x,right,
26,6/3/2013,13,Day 5,10,green(3),orange(2/4=4),left,
26,6/4/2013,14,Day 6,1,yellow(1),purple(0/2=2),left,
26,6/4/2013,14,Day 6,2,green(3),yellow(1),left,
26,6/4/2013,14,Day 6,3,green(3),orange(2/4=2),left,
26,6/4/2013,14,Day 6,4,purple(0/2=0),orange(2/4=2),right,
26,6/4/2013,14,Day 6,5,orange(2/4=2),purple(0/2=2),left,
26,6/4/2013,14,Day 6,6,orange(2/4=2),green(3),right,
26,6/4/2013,14,Day 6,7,purple(0/2=2),yellow(1),right,
26,6/4/2013,14,Day 6,8,x,green(3),right,
26,6/4/2013,14,Day 6,9,purple(0/2=0),x,left,
26,6/4/2013,14,Day 6,10,yellow(1),green(3),right,
26,6/5/2013,15,Day 7,1,green(3),yellow(1),left,
26,6/5/2013,15,Day 7,2,orange(2/4=4),purple(0/2=0),left,
26,6/5/2013,15,Day 7,3,purple(0/2=2),orange(2/4=4),right,
26,6/5/2013,15,Day 7,4,green(3),x,right,
26,6/5/2013,15,Day 7,5,purple(0/2=0),yellow(1),left,
26,6/5/2013,15,Day 7,6,x,yellow(1),left thenæright,
26,6/5/2013,15,Day 7,7,orange(2/4=4),green(3),right,
26,6/5/2013,15,Day 7,8,yellow(1),purple(0/2=2),left,forgot to hit the record button
26,6/5/2013,15,Day 7,9,yellow(1),green(3),right,
26,6/5/2013,15,Day 7,10,green(3),orange(2/4=2),left,
26,6/6/2013,16,Day 8,1,green(3),yellow(1),left,
26,6/6/2013,16,Day 8,2,green(3),orange(2/4=4),left,
26,6/6/2013,16,Day 8,3,orange(2/4=2),green(3),right,
26,6/6/2013,16,Day 8,4,orange(2/4=4),x,left,
26,6/6/2013,16,Day 8,5,yellow(1),green(3),right,
26,6/6/2013,16,Day 8,6,yellow(1),purple(0/2=0),left,
26,6/6/2013,16,Day 8,7,purple(0/2=0),orange(2/4=4),right,
26,6/6/2013,16,Day 8,8,purple(0/2=0),yellow(1),right,
26,6/6/2013,16,Day 8,9,x,purple(0/2=2),right,
26,6/6/2013,16,Day 8,10,orange(2/4=4),purple(0/2=2),left,
26,6/7/2013,17,Day 1,1,orange(2/4=2),purple(0/2=0),left,
26,6/7/2013,17,Day 1,2,green(3),orange(2/4=4),left,
26,6/7/2013,17,Day 1,3,purple(0/2=2),orange(2/4=2),right,
26,6/7/2013,17,Day 1,4,x,orange(2/4=4),right,
26,6/7/2013,17,Day 1,5,yellow(1),purple(0/2=0),right,
26,6/7/2013,17,Day 1,6,yellow(1),x,left,
26,6/7/2013,17,Day 1,7,yellow(1),green(3),right,
26,6/7/2013,17,Day 1,8,orange(2/4=4),green(3),right,
26,6/7/2013,17,Day 1,9,green(3),yellow(1),left,
26,6/7/2013,17,Day 1,10,purple(0/2=2),yellow(1),right,
26,6/10/2013,18,Day 2,1,orange(2/4=2),purple(0/2=2),left,
26,6/10/2013,18,Day 2,2,purple(0/2=0),orange(2/4=2),right,
26,6/10/2013,18,Day 2,3,purple(0/2=2),x,right then left,
26,6/10/2013,18,Day 2,4,green(3),yellow(1),left,
26,6/10/2013,18,Day 2,5,x,green(3),right,
26,6/10/2013,18,Day 2,6,yellow(1),purple(0/2=2),left,
26,6/10/2013,18,Day 2,7,purple(0/2=2),yellow(1),right,
26,6/10/2013,18,Day 2,8,yellow(1),green(3),right,
26,6/10/2013,18,Day 2,9,orange(2/4=2),green(3),right,
26,6/10/2013,18,Day 2,10,green(3),orange(2/4=2),right,
26,6/11/2013,19,Day 3,1,green(3),orange(2/4=2),left,
26,6/11/2013,19,Day 3,2,green(3),yellow(1),left,
26,6/11/2013,19,Day 3,3,purple(0/2=0),yellow(1),right,
26,6/11/2013,19,Day 3,4,purple(0/2=2),orange(2/4=4),right,
26,6/11/2013,19,Day 3,5,green(3),x,left,
26,6/11/2013,19,Day 3,6,yellow(1),green(3),right,
26,6/11/2013,19,Day 3,7,yellow(1),purple(0/2=2),left,
26,6/11/2013,19,Day 3,8,orange(2/4=4),green(3),right,
26,6/11/2013,19,Day 3,9,orange(2/4=4),purple(0/2=0),left,
26,6/11/2013,19,Day 3,10,x,yellow(1),right,
26,6/13/2013,20,Day 4,1,purple(0/2=0),yellow(1),left,
26,6/13/2013,20,Day 4,2,yellow(1),green(3),right,
26,6/13/2013,20,Day 4,3,orange(2/4=4),purple(0/2=2),left,
26,6/13/2013,20,Day 4,4,purple(0/2=0),orange(2/4=4),right,
26,6/13/2013,20,Day 4,5,yellow(1),purple(0/2=0),left,
26,6/13/2013,20,Day 4,6,x,purple(0/2=0),right,
26,6/13/2013,20,Day 4,7,green(3),yellow(1),left,
26,6/13/2013,20,Day 4,8,green(3),orange(2/4=4),right,
26,6/13/2013,20,Day 4,9,orange(2/4=2),x,left,
26,6/13/2013,20,Day 4,10,orange(2/4=2),green(3),right,
26,6/14/2013,21,Day 5,1,purple(0/2=2),yellow(1),left,
26,6/14/2013,21,Day 5,2,green(3),yellow(1),left,
26,6/14/2013,21,Day 5,3,yellow(1),x,left,
26,6/14/2013,21,Day 5,4,yellow(1),green(3),right,
26,6/14/2013,21,Day 5,5,orange(2/4=2),purple(0/2=0),left,
26,6/14/2013,21,Day 5,6,green(3),orange(2/4=4),left,
26,6/14/2013,21,Day 5,7,purple(0/2=2),orange(2/4=2),right,
26,6/14/2013,21,Day 5,8,x,orange(2/4=2),right,
26,6/14/2013,21,Day 5,9,orange(2/4=4),green(3),right,
26,6/14/2013,21,Day 5,10,yellow(1),purple(0/2=0),left,
26,6/17/2013,22,Day 6,1,green(3),yellow(1),left,
26,6/17/2013,22,Day 6,2,x,green(3),right,
26,6/17/2013,22,Day 6,3,green(3),orange(2/4=2),left,
26,6/17/2013,22,Day 6,4,purple(0/2=2),yellow(1),left,
26,6/17/2013,22,Day 6,5,purple(0/2=0),orange(2/4=2),right,
26,6/17/2013,22,Day 6,6,yellow(1),green(3),right,
26,6/17/2013,22,Day 6,7,orange(2/4=2),green(3),right,
26,6/17/2013,22,Day 6,8,orange(2/4=2),purple(0/2=2),left,
26,6/17/2013,22,Day 6,9,purple(0/2=0),x,left,
26,6/17/2013,22,Day 6,10,yellow(1),purple(0/2=2),left,
26,6/18/2013,23,Day 7,1,green(3),orange(2/4=2),left,
26,6/18/2013,23,Day 7,2,yellow(1),purple(0/2=2),left,
26,6/18/2013,23,Day 7,3,x,yellow(1),right,
26,6/18/2013,23,Day 7,4,purple(0/2=2),orange(2/4=4),right,
26,6/18/2013,23,Day 7,5,orange(2/4=4),green(3),right,
26,6/18/2013,23,Day 7,6,purple(0/2=0),yellow(1),right,
26,6/18/2013,23,Day 7,7,green(3),yellow(1),left,
26,6/18/2013,23,Day 7,8,green(3),x,left,
26,6/18/2013,23,Day 7,9,yellow(1),green(3),right,
26,6/18/2013,23,Day 7,10,orange(2/4=4),purple(0/2=0),left,
26,6/19/2013,24,Day 8,1,purple(0/2=0),orange(2/4=4),right,"Session 24 was mislabelled as Day 7, so two sessions of Day 8 were run on back to back by mistake. The spreadsheet has been corrected to read Day 8."
26,06/19/2013,24,Day 8,1,yellow(1),x,right 4 times then left,
26,06/19/2013,24,Day 8,1,purple(0/2=2),yellow(1),right,
26,06/19/2013,24,Day 8,1,yellow(1),purple(0/2=0),left,
