participant_id,n_Block,TypeTrial,n,acc
1,1,Catch Trial,16,0.9375
1,1,Decision Trial,24,0.4166666666666667
1,2,Catch Trial,16,0.9375
1,2,Decision Trial,24,0.4166666666666667
1,3,Catch Trial,16,1
1,3,Decision Trial,24,0.5
1,4,Catch Trial,16,1
1,4,Decision Trial,24,0.5
1,5,Catch Trial,16,1
1,5,Decision Trial,24,0.5
1,6,Catch Trial,16,1
1,6,Decision Trial,24,0.5833333333333334
2,1,Catch Trial,16,0.5625
2,1,Decision Trial,24,0.5833333333333334
2,2,Catch Trial,16,0.875
2,2,Decision Trial,24,0.25
2,3,Catch Trial,16,0.9375
2,3,Decision Trial,24,0.4166666666666667
2,4,Catch Trial,16,0.6875
2,4,Decision Trial,24,0.5833333333333334
2,5,Catch Trial,16,1
2,5,Decision Trial,24,0.5833333333333334
2,6,Catch Trial,16,1
2,6,Decision Trial,24,0.625
3,1,Catch Trial,16,0.8125
3,1,Decision Trial,24,0.5416666666666666
3,2,Catch Trial,16,0.9375
3,2,Decision Trial,24,0.3333333333333333
3,3,Catch Trial,16,1
3,3,Decision Trial,24,0.4583333333333333
3,4,Catch Trial,16,1
3,4,Decision Trial,24,0.375
3,5,Catch Trial,16,1
3,5,Decision Trial,24,0.16666666666666666
3,6,Catch Trial,16,1
3,6,Decision Trial,24,0
4,1,Catch Trial,16,0.875
4,1,Decision Trial,24,0.5
4,2,Catch Trial,16,0.9375
4,2,Decision Trial,24,0.5833333333333334
4,3,Catch Trial,16,1
4,3,Decision Trial,24,0.5833333333333334
4,4,Catch Trial,16,1
4,4,Decision Trial,24,0.5416666666666666
4,5,Catch Trial,16,1
4,5,Decision Trial,24,0.4166666666666667
4,6,Catch Trial,16,1
4,6,Decision Trial,24,0.875
5,1,Catch Trial,16,0.5625
5,1,Decision Trial,24,0.5
5,2,Catch Trial,16,0.75
5,2,Decision Trial,24,0.3333333333333333
5,3,Catch Trial,16,0.875
5,3,Decision Trial,24,0.3333333333333333
5,4,Catch Trial,16,0.75
5,4,Decision Trial,24,0.4166666666666667
5,5,Catch Trial,16,0.875
5,5,Decision Trial,24,0.3333333333333333
5,6,Catch Trial,16,0.875
5,6,Decision Trial,24,0.2916666666666667
6,1,Catch Trial,16,0.875
6,1,Decision Trial,24,0.375
6,2,Catch Trial,16,1
6,2,Decision Trial,24,0.6666666666666666
6,3,Catch Trial,16,1
6,3,Decision Trial,24,0.3333333333333333
6,4,Catch Trial,16,0.9375
6,4,Decision Trial,24,0.25
6,5,Catch Trial,16,0.9375
6,5,Decision Trial,24,0.25
6,6,Catch Trial,16,1
6,6,Decision Trial,24,0.08333333333333333
7,1,Catch Trial,16,0.5
7,1,Decision Trial,24,0.5
7,2,Catch Trial,16,1
7,2,Decision Trial,24,0.5
7,3,Catch Trial,16,0.875
7,3,Decision Trial,24,0.5833333333333334
7,4,Catch Trial,16,1
7,4,Decision Trial,24,0.3333333333333333
7,5,Catch Trial,16,1
7,5,Decision Trial,24,0.25
7,6,Catch Trial,16,1
7,6,Decision Trial,24,0.2916666666666667
8,1,Catch Trial,16,0.5
8,1,Decision Trial,24,0.625
8,2,Catch Trial,16,0.75
8,2,Decision Trial,24,0.5833333333333334
8,3,Catch Trial,16,1
8,3,Decision Trial,24,0.4583333333333333
